line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
33,COFFEECoffee gold100g,Coffee Gold 100 g,0.7451,"Nescafe Gold Origins Colombia Premium Instant Soluble Coffee, 100g",34.75,0.7451,5410001005549,20,"Nescafe Espresso Instant Coffee Intensity 7, 100g",34.75,0.5646,7613037067446,20,Nescafe Gold Blend Organic Soluble Coffee Jar 100 g,36,0.5587,7613036300827,20
34,PASTA & INSTANT FOODSpaghetti500g,Spaghetti 500 g,0.9222,"Panzani Spaghetti, 500g",9.75,0.9222,3038351165007,20,"Barilla Spaghetti No.7, 500g",13.5,0.889,8076808150072,20,"Barilla Pasta Spaghetti No.5, 500g",13.5,0.8585,8076800195057,20
35,OILCow ghee1kg,Cow Ghee 1 kg,,,,,,,,,,,,,,,,
36,FRESH JUICESFresh Pomegranate Juice 1 L1L,Fresh Pomegranate Juice 1 L,0.7035,"Lacnor Healthy Living Pomegranate Juice, 1L",8.75,0.6804,6291016111093,20,Rubicon Pomegranate Juice 1 Ltr,14.25,0.7035,064579007631,20,"Barakat Fresh Orange Juice, 1L",24.95,0.6879,6291100931514,20
37,OILSunflower oil 1 L1L,Sunflower Oil 1 L,0.93,"Lesieur Sunflower Oil, 1L",19,0.93,3265474385009,20,Lesieur  Sunflower Oil 2.L,32.5,0.9061,3265474610002,20,,,,,
38,CLEANING TOOLS & DISPOSABLESGarbage bags 30gal20bag,Garbage Bags 30 gal 20 Pack,,,,,,,,,,,,,,,,
39,MILK & YOGURTLow Fat Yoghurt 1kg1kg,Low Fat Yoghurt 1 kg,0.9108,"Almarai Low Fat Fresh Yogurt, 1kg",7.5,0.7346,6281007024020,20,"Almarai Plain Full Fat Fresh Yoghurt, 1kg",7.5,0.6892,6281007063067,20,"Al Ain Low Fat Fresh Yoghurt, 1kg",7.75,0.9108,6291056067534,20
40,CLEANING TOOLS & DISPOSABLESGarbage bags 10gal30bag,Garbage Bags 10 gal 30 Pack,,,,,,,,,,,,,,,,
41,MILK & YOGURTFull cream milk 1L1L,Full Cream Milk 1 L,0.902,"Elle & Vire Uht Full Cream Milk, 1L",12.75,0.902,3451791340399,20,"Koita Organic Whole Cream Milk, 1L",16.5,0.6392,869712000001,20,"Hayatna Full Cream Long Life Milk, 4x1L",20,0.875,6297001135693,20
42,CHEESE & BUTTERButter salted200g,Butter Salted 200 g,0.8877,"Marquis Blended Butter 80% Fat Unsalted, 200g",11.25,0.8566,3451790824326,20,"Lurpak Salted Butter, 200g",14.75,0.8779,5740900861305,20,"Elle & Vire Butter Salted 82% Fat, 200g",24.95,0.8877,3161911393210,20
43,CLEANING TOOLS & DISPOSABLESSoft facial tissue1 x 5pack,Soft Facial Tissue 5 Pack,,,,,,,,,,,,,,,,
44,CABBAGE & GOURDSCauliflower1kg,Cauliflower 1 kg,0.9125,"Cauliflower Romanesco, 1kg",39.95,0.9125,2011950000000,20,,,,,,,,,,
45,SAUCES & SEASONINGTomato ketchup500ml,Tomato Ketchup 500 ml,0.6612,"Puck Tomato Sauce, 500ml",18,0.6612,5711953040603,20,,,,,,,,,,
46,FLOURChakki atta5kg,Chakki Atta 5 kg,0.9338,"Al Baker Chakki Fresh Atta, 5kg",14.95,0.8833,6291003611483,20,"Dahabi Chakki Atta, 5kg",18.5,0.9338,9501100400086,20,,,,,
47,BREADLarge brown bread600g,Large Brown Bread 600 g,,,,,,,,,,,,,,,,
48,PASTA & INSTANT FOODFusilli500g,Fusilli 500 g,0.9125,"Panzani Fusilli, 500g",13,0.9125,3038351563605,20,"Barilla Pasta Fusilli No.98, 500g",18.75,0.8409,8076802085981,20,"De Cecco Fusilli Pasta, 500g",21.25,0.8654,8001250014368,20
49,CLEANING TOOLS & DISPOSABLESFacial Tissue 5x2005 x 200pack,Facial Tissue 5 x 200 Pack,0.6411,Hello Kitty Facial Tissue 1 Box,13.5,0.6333,8033661562459,20,"Masafi Facial Tissues 2Ply, 5x130 Pieces",14.45,0.6302,6291001013616,20,"Hello 2 Ply Facial Tissues, 5x200 Sheets",16,0.6411,2050000374265,20
